Name	StdBarcode	AcademicBarcode
100215	315	10215
100216	316	10216
100217	317	10217
100218	318	10218
100219	-	10219
100220	-	10220
100221	-	10221
100222	-	10222
100223	323	10223
100224	324	10224
100225	325	10225
100226	326	10226
100227	327	10227
100228	328	10228
100229	-	10229
100230	330	10230
100231	331	10231
100232	332	10232
100233	333	10233
100234	334	10234
100235	-	10235
100236	-	10236
100237	-	10237
100238	-	10238
100239	-	10239
100240	340	10240
100241	341	10241
100242	342	10242
100243	343	10243
100244	344	10244
100245	345	10245
100246	346	10246
100247	-	10247
100248	348	10248
100249	349	10249
100250	350	10250
100251	351	10251
100252	-	10252
100253	-	10253
100254	-	10254
100255	-	10255
100256	-	10256
100257	357	10257
100258	358	10258
100175	359	10259
100176	360	10260
100177	361	10261
100178	362	10262
100179	363	10263
100180	-	10264
100181	365	10265
100182	366	10266
100183	367	10267
100184	368	10268
100185	369	10269
100186	370	10270
100187	371	10271
100188	372	10272
100189	373	10273
100190	374	10274
100191	-	10275
100192	-	10276
100193	-	10277
100194	-	10278
100195	-	10279
100196	-	10280
100197	381	10281
100198	382	10282
100199	383	10283
100200	-	10284
100201	385	10285
100202	386	10286
100203	387	10287
100204	388	10288
100205	389	10289
100206	390	10290
100207	391	10291
100208	-	10292
100209	393	10293
100210	394	10294
100211	395	10295
100212	396	10296
100213	397	10297
100214	398	10298
100215	399	10299
100216	400	10300
100217	-	10301
100218	402	10302
100219	403	10303
100220	404	10304
100221	405	10305
100222	406	10306
100190	-	10307
100191	-	10308
100192	-	10309
100193	-	10310
100194	-	10311
100195	-	10312
100196	-	10313
100197	-	10314
100198	-	10315
100199	-	10316
100200	-	10317
100201	407	10318
100202	408	10319
100203	409	10320
100204	410	10321
100205	411	10322
100206	412	10323
100207	413	10324
100208	414	10325
100209	415	10326
100210	416	10327
100211	-	10328
100212	418	10329
100213	419	10330
100214	420	10331
100215	421	10332
100216	422	10333
100217	423	10334
100218	424	10335
100219	425	10336
100220	426	10337
100221	427	10338
100222	428	10339
100223	429	10340
100224	430	10341
100225	431	10342
100226	432	10343
100227	-	10344
100228	434	10345
100229	435	10346
100230	436	10347
100231	437	10348
100232	438	10349
100233	439	10350
100234	440	10351
100235	441	10352
100236	-	10353
100237	443	10354
100238	444	10355
100239	445	10356
100240	446	10357
100241	447	10358
100242	448	10359
100243	449	10360
100244	450	10361
100245	-	10362
100246	452	10363
100247	453	10364
100248	454	10365
100249	455	10366
100250	456	10367
100251	457	10368
100252	458	10369
100253	459	10370
100254	460	10371
100255	461	10372
100256	462	10373
100257	463	10374
100258	464	10375
100259	-	10376
100260	-	10377
100261	-	10378
100262	-	10379
100263	-	10380
100264	465	10381
100265	466	10382
100266	467	10383
100267	468	10384
100268	469	10385
100269	470	10386
100270	471	10387
100271	472	10388
100272	-	10389
100273	474	10390
100274	475	10391
100275	476	10392
100276	477	10393
100277	478	10394
100278	479	10395
100279	480	10396
100280	481	10397
100281	482	10398
100282	483	10399
100283	484	10400
100284	485	10401
100285	486	10402
100286	-	10403
100287	-	10404
100288	-	10405
100289	-	10406
100290	487	10407
100291	488	10408
100292	489	10409
100293	490	10410
100294	491	10411
100295	492	10412
100296	493	10413
100297	494	10414
100298	495	10415
100299	496	10416
100300	497	10417
100301	498	10418
100302	-	10419
100303	500	10420
100304	501	10421
100305	502	10422
100306	503	10423
100307	504	10424
100308	-	10425
100309	506	10426
100310	507	10427
100311	508	10428
100312	509	10429
100313	510	10430
100314	511	10431
100315	512	10432
100316	513	10433
100317	514	10434
100318	515	10435
100319	516	10436
100320	-	10437
100321	518	10438
100322	519	10439
100323	520	10440
100324	521	10441
100325	522	10442
100326	523	10443
100327	524	10444
100328	525	10445
100329	526	10446
100330	527	10447
100331	528	10448
100332	529	10449
100333	530	10450
100334	-	10451
100335	-	10452
100336	-	10453
100337	531	10454
100338	532	10455
100339	533	10456
100340	534	10457
100341	535	10458
100342	536	10459
100343	537	10460
100344	538	10461
100345	539	10462
100346	540	10463
100347	541	10464
100348	542	10465
100349	543	10466
100350	544	10467
100351	545	10468
100352	546	10469
100353	547	10470
100354	548	10471
100355	549	10472
100356	550	10473
100357	551	10474
100358	552	10475
100359	553	10476
100360	554	10477
100361	555	10478
100362	556	10479
100363	557	10480
100364	558	10481
100365	559	10482
100366	560	10483
100367	561	10484
100368	562	10485
100369	563	10486
100370	564	10487
100371	565	10488
100372	-	10489
100373	-	10490
100374	-	10491
100375	-	10492
100376	-	10493
100377	566	10494
100378	567	10495
100379	568	10496
100380	569	10497
100381	570	10498
100382	571	10499
100383	572	10500
100384	573	10501
100385	574	10502
